Назва,Адреса,46.4825,30.7233,Пн-пт,08:00–17:00,ЄДРПОУ/Ідент №,Телефони,Unnamed: 8,Unnamed: 9,100 000 ,"Сілосний, напольний",Unnamed: 12,Unnamed: 13,40 км/год,"Заднє, Бокове, гравітаційне, Шнекове, Пневматичне, Ручне",4 м,12 м,40 т,"Самоскид, зерновоз, тентовий",30 км/год,"Верхнє, бокове, Пневматичне, Шнекове, ",3.8 м,11 м,38 т,"Самоскид, зерновоз, тентовий.1",487654,25 км/год,Механічне,60 т,фронт 150 м,"піввагони, зерновози, контейнера",25 км/год.1,Механічне.1,60 т.1,фронт 150 м.1,Хопер,5 км/год,Трубопровід,річкові баржі,5 м,12 м.1,6 м,80 м,4 км/год,Крани,морські судна,7 м,15 м,7 м.1,120 м,Широта,Довгота
"""ТРОСТЯНЕЦЬЗЕРНО"" ТОВ","24300, Вінницька обл., Тростянецький, м. Тростянець, вул. Наконечного буд.31",,,,,34927974.0,,(04343)2-21-44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.5167072,29.2119506
"Аграріко, ТОВ","22401, Вінницька обл., Калинівський, м. Калинівка, вул. Коцюбинського буд.33",,,,,37118607.0,(067)654-14-77,(04333)2-17-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.4411422,28.5185794
"Агродар-Бар, ТОВ","23032, Вінницька обл., Барський, с. Міжлісся, вул. Лісова буд.2",,,,,35599189.0,(067)430-44-67, (04333)3-32-44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.0420691,27.7351231
"АК Зелена долина, ТОВ","23642, Вінницька обл., Тульчинський, с. Маяки, вул. Привокзальна буд.41",,,,,32721857.0,,(04348)2-15-35; (04335)3-85-81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.5980079,28.7216824
"Атлант, ПМП","22400, Вінницька обл., Калинівський, м. Калинівка, вул. Коцюбинського буд.33-А",,,,,23104400.0,,(0233)4-20-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.4411422,28.5185794
"Богданівське, ТОВ","23662, Вінницька обл., Тульчинський, с. Богданівка, вул. Котовського буд.1",,,,,32298323.0,,(04335)4-43-81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.6738262,28.8614601
"Богданівське, ТОВ (с. Білоусівка)","23663, Вінницька обл., Тульчинський, с. Білоусівка, Леніна буд.15-А",,,,,32298323.0,,(04335)4-43-81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.6620362,29.1335537
"Бонус У, ТОВ","22300, Вінницька обл., Літинський, смт Літин, вул. Сосонське шосе буд.28",,,,,33559212.0,,(04347)2-09-82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.34052,28.0656492
"Вапнярський елеватор, АДМ ТОВ","24240, Вінницька обл., Томашпільський, смт Вапнярка, вул. Гагаріна буд.6",,,,,32386477.0,,(04350)3-19-58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.5443323,28.5168778
"Вектор Ойл Трейд, ТОВ","23521, Вінницька обл., Шаргородський, с. Пеньківка, вул. Радянська буд.1а",,,,,30542756.0,," (04344)3-77-63, (048)728-72-72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.9019454,28.2645526
